,Un misil en mi placard,Te hacen falta vitaminas,Mi novia tiene biceps,Trátame suavemente,Disco Eterno,Ni un segundo,Afrodisíacos,Dietético,El tiempo es dinero,Por qué no puedo ser del jet set?,Cuando pase el temblor,Nada personal,Juegos de seducción,Imágenes retro,Danza rota,Estoy azulado,Observándonos,Ecos,Si no fuera por,Sin sobresaltos,En camino,Final caja negra,Prófugos,Persiana americana,Signos,El rito,No existes,Día común,En la ciudad de la furia,Lo que sangra,Corazón delator,Sobredosis de TV,En el borde,Picnic en el 4to B,El ritmo de tus ojos,Terapia de amor intensiva,Los languidecientes
Sin sobresaltos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.1666666666666667,0.0,0.19802950859533489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666667
En camino,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.2721655269759087,0.10540925533894598,0.0,0.05270462766947299,0.0,0.0,0.17677669529663687,0.0,0.0,0.09622504486493763,0.03268602252303067,0.0,0.0,0.0,1.0000000000000002,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.19245008972987526,0.294174202707276,0.0,0.07453559924999298,0.0,0.04914731871829904,0.2166445612065605,0.0
Final caja negra,0.15811388300841894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13130643285972254,0.0
Prófugos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282842712474619,0.20701966780270625,0.1414213562373095,0.0,0.0,0.0,0.0,0.0,0.0,0.08770580193070293,0.0,0.0,0.0,0.4472135954999579,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.1164445019479164,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.4152273992686999,0.36514837167011077
Persiana americana,0.0,0.13608276348795434,0.0,0.18257418583505539,0.0,0.1543033499620919,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.11322770341445959,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,1.0000000000000002,0.3061862178478973,0.0,0.0,0.37204580241691376,0.0,0.2357022603955159,0.0,0.0,0.0,0.1543033499620919,0.0,0.0,0.0
Signos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386750490563073,0.0,0.07216878364870323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3061862178478973,1.0,0.12126781251816648,0.5,0.45566118843288356,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.0,0.0,0.0
El rito,0.10846522890932808,0.32338083338177726,0.0,0.0,0.0,0.0,0.0,0.0,0.07484811885651198,0.3067859955389482,0.19802950859533489,0.23529411764705882,0.0,0.0,0.0,0.280056016805602,0.0,0.280056016805602,0.0,0.19802950859533489,0.0,0.0,0.0,0.0,0.12126781251816648,1.0,0.40422604172722154,0.09472634669260091,0.0,0.0,0.0,0.4338609156373123,0.0,0.0,0.0,0.0,0.0
No existes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19245008972987526,0.0,0.0,0.0,0.0,0.0,0.2357022603955158,0.0,0.0,0.5,0.40422604172722154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Día común,0.0582222509739582,0.0,0.0,0.0,0.0,0.0,0.1062988006905468,0.0,0.060265755276773095,0.0,0.0,0.0,0.0,0.2527553506359416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1164445019479164,0.37204580241691376,0.45566118843288356,0.09472634669260091,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.344447481913586,0.01919530770468844,0.0,0.0
En la ciudad de la furia,0.0,0.0,0.0,0.38348249442368515,0.0,0.0,0.0,0.0,0.0,0.0,0.35007002100700246,0.0,0.0,0.0,0.0,0.0,0.0,0.14852213144650114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lo que sangra,0.0,0.0,0.0,0.25819888974716115,0.0,0.4364357804719848,0.4714045207910318,0.0,0.445435403187374,0.0,0.2357022603955159,0.0,0.2041241452319315,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.19245008972987526,0.0,0.0,0.2357022603955159,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.45291081365783836,0.0,0.0,0.0,0.08512565307587487,0.1072112534837795,0.0
Corazón delator,0.08770580193070293,0.0,0.09805806756909202,0.0,0.0,0.07412493166611012,0.6405126152203486,0.0,0.0,0.0,0.24019223070763074,0.0,0.34668762264076824,0.0,0.08006407690254358,0.0,0.0,0.0,0.0,0.0,0.294174202707276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45291081365783836,0.9999999999999999,0.0,0.0,0.0,0.14457873299156007,0.14567140814584595,0.0
Sobredosis de TV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13801311186847084,0.565685424949238,0.36514837167011077,0.0,0.15811388300841894,0.0,0.0,0.0,0.0,0.5163977794943223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4338609156373123,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0
En el borde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282842712474619,0.0,0.1414213562373095,0.0,0.0,0.0,0.0,0.36514837167011077,0.0,0.08770580193070293,0.0,0.0,0.0,0.07453559924999298,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.3380617018914066,0.0,0.4152273992686999,0.0
Picnic en el 4to B,0.0,0.0,0.0,0.0,0.1690308509457033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.1543033499620919,0.0,0.22237479499833035,0.0,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.1889822365046136,0.0,0.0,0.344447481913586,0.0,0.0,0.0,0.0,0.3380617018914066,0.9999999999999998,0.0,0.0,0.0
El ritmo de tus ojos,0.0,0.0,0.0,0.2637521893583148,0.0,0.0,0.12038585308576923,0.0,0.045501575519329006,0.0,0.0,0.0,0.052128603514268686,0.0,0.36115755925730764,0.042562826537937436,0.0,0.0,0.0,0.0,0.04914731871829904,0.0,0.0,0.0,0.0,0.0,0.0,0.01919530770468844,0.0,0.08512565307587487,0.14457873299156007,0.0,0.0,0.0,0.9999999999999999,0.027379283909669677,0.0
Terapia de amor intensiva,0.0,0.0,0.0,0.0,0.0,0.0,0.1516196087157807,0.5872202195147036,0.0,0.2936101097573518,0.0,0.0,0.13130643285972254,0.0,0.07580980435789035,0.05360562674188975,0.18208926018230748,0.0,0.0,0.0,0.2166445612065605,0.13130643285972254,0.4152273992686999,0.0,0.0,0.0,0.0,0.0,0.0,0.1072112534837795,0.14567140814584595,0.0,0.4152273992686999,0.0,0.027379283909669677,1.0,0.0
Los languidecientes,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.0,0.25197631533948484,0.0,0.0,0.09901475429766744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.36514837167011077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
